,Total Profit (max),Total Profit (mean),Total Profit (min),Total Profit (std),c1,c2,c3,score
0,96070.78969,41300.94405,5145.06317,31268.18197,-1e-05,0.0037,2000.0,0.16455
1,2491034.36815,714094.97325,140678.94699,623559.46979,4e-05,-0.0079,1789.0,0.22561
2,1514472.99419,708098.47493,118960.10009,488587.27992,5e-05,-0.0026,947.0,0.24348
3,1801130.57679,726908.85149,151759.14489,523520.78758,5e-05,-0.0037,1789.0,0.28988
4,1646395.11825,752599.5646,172616.27458,411047.45618,5e-05,0.0016,1789.0,0.41994
5,929275.48834,307760.72243,85635.81338,203235.1249,2e-05,0.0026,1368.0,0.42136
6,633754.96528,210392.90499,102821.12976,128051.65276,1e-05,0.0058,1789.0,0.80297
7,502581.62329,189198.81094,88757.3631,107776.02026,1e-05,0.0047,1368.0,0.82354
8,468965.77577,153051.8859,81519.37098,91111.74501,1e-05,0.0058,1368.0,0.89472
9,599741.33608,246479.05581,121906.34558,130224.97278,1e-05,0.0068,2000.0,0.93612
10,310721.62562,181048.25711,115894.33307,62318.44298,1e-05,-0.0037,2000.0,1.85971
